relationship_id,start_entity,end_entity,relationship_type
139,糖尿病,牛奶香脆饼干,SUITABLE
140,糖尿病,山药,SUITABLE
141,糖尿病,雪魔芋,SUITABLE
142,糖尿病,芋头（蒸）,SUITABLE
143,糖尿病,山芋,SUITABLE
144,糖尿病,土豆粉条,SUITABLE
145,糖尿病,藕粉,SUITABLE
146,糖尿病,苕粉,SUITABLE
147,糖尿病,豌豆粉丝,SUITABLE
148,糖尿病,黄豆,SUITABLE
149,糖尿病,黑豆,SUITABLE
150,糖尿病,青豆,SUITABLE
151,糖尿病,绿豆,SUITABLE
152,糖尿病,蚕豆,SUITABLE
153,糖尿病,鹰嘴豆,SUITABLE
154,糖尿病,芸豆,SUITABLE
155,糖尿病,豆腐,SUITABLE
156,糖尿病,豆腐干,SUITABLE
157,糖尿病,芦笋,SUITABLE
158,糖尿病,菜花,SUITABLE
159,糖尿病,西兰花,SUITABLE
160,糖尿病,芹菜,SUITABLE
161,糖尿病,黄瓜,SUITABLE
162,糖尿病,茄子,SUITABLE
163,糖尿病,莴笋,SUITABLE
164,糖尿病,生菜,SUITABLE
165,糖尿病,青椒,SUITABLE
166,糖尿病,西红柿,SUITABLE
167,糖尿病,菠菜,SUITABLE
168,糖尿病,苹果,SUITABLE
169,糖尿病,梨,SUITABLE
170,糖尿病,桃,SUITABLE
171,糖尿病,李子,SUITABLE
172,糖尿病,樱桃,SUITABLE
173,糖尿病,葡萄,SUITABLE
174,糖尿病,猕猴桃,SUITABLE
175,糖尿病,柑橘,SUITABLE
176,糖尿病,芒果,SUITABLE
177,糖尿病,芭蕉,SUITABLE
178,糖尿病,香蕉,SUITABLE
179,糖尿病,草莓,SUITABLE
180,糖尿病,牛奶,SUITABLE
181,糖尿病,奶粉,SUITABLE
182,糖尿病,酸奶,SUITABLE
183,糖尿病,酸乳酪,SUITABLE
184,糖尿病,花生,SUITABLE
185,糖尿病,腰果,SUITABLE
186,糖尿病,巧克力,SUITABLE
187,糖尿病,乳糖,SUITABLE
188,糖尿病,大米饭,AVOID
189,糖尿病,糯米饭,AVOID
190,糖尿病,速食米饭,AVOID
191,糖尿病,即食大米粥,AVOID
192,糖尿病,白面馒头,AVOID
193,糖尿病,烙饼,AVOID
194,糖尿病,米饼,AVOID
195,糖尿病,白面包,AVOID
196,糖尿病,梳打饼干,AVOID
197,糖尿病,华夫饼干,AVOID
198,糖尿病,膨化薄脆饼干,AVOID
199,糖尿病,土豆泥,AVOID
200,糖尿病,红薯（煮）,AVOID
201,糖尿病,南瓜,AVOID
202,糖尿病,西瓜,AVOID
203,糖尿病,葡萄糖,AVOID
204,糖尿病,麦芽糖,AVOID
205,糖尿病,白糖,AVOID
206,糖尿病,蜂蜜,AVOID
207,糖尿病,胶质软糖,AVOID
208,糖尿病,糙米饭,LIMIT
209,糖尿病,小米粥,LIMIT
210,糖尿病,全麦面,LIMIT
211,糖尿病,黄豆挂面,LIMIT
212,糖尿病,荞麦面条,LIMIT
213,糖尿病,印度卷饼,LIMIT
214,糖尿病,比萨饼（含乳酪）,LIMIT
215,糖尿病,全麦面包,LIMIT
216,糖尿病,大麦面包,LIMIT
217,糖尿病,燕麦面包,LIMIT
218,糖尿病,高纤面包,LIMIT
219,糖尿病,小麦饼干,LIMIT
220,糖尿病,油酥脆饼干,LIMIT
221,糖尿病,土豆（煮、蒸、烤）,LIMIT
222,糖尿病,土豆片（油炸）,LIMIT
223,糖尿病,甜菜,LIMIT
224,糖尿病,菠萝,LIMIT
225,糖尿病,哈密瓜,LIMIT
226,糖尿病,水果罐头（如桃、杏）,LIMIT
227,糖尿病,葡萄干,LIMIT
228,锅贴,玉米面,CONTAIN
229,锅贴,面粉,CONTAIN
230,萝卜蘸酱,白萝卜,CONTAIN
231,杂粮饭,大米,CONTAIN
232,杂粮饭,藜麦,CONTAIN
233,杂粮饭,玉米碴,CONTAIN
234,芹菜炒肉,芹菜,CONTAIN
235,芹菜炒肉,猪肉,CONTAIN
236,鸡片炒油菜,鸡胸肉,CONTAIN
237,鸡片炒油菜,油菜,CONTAIN
238,红菜汤,圆白菜,CONTAIN
239,红菜汤,西红柿,CONTAIN
240,红菜汤,土豆,CONTAIN
241,红菜汤,牛肉,CONTAIN
242,二米饭,大米,CONTAIN
243,二米饭,小米,CONTAIN
244,藿香鱼,藿香,CONTAIN
245,藿香鱼,白鲢,CONTAIN
246,杏鲍菇蒜苗炒肉,杏鲍菇,CONTAIN
247,杏鲍菇蒜苗炒肉,蒜苗,CONTAIN
248,杏鲍菇蒜苗炒肉,牛肉,CONTAIN
249,油豆角炖肉,油豆角,CONTAIN
250,油豆角炖肉,牛肉,CONTAIN
251,发糕,面粉,CONTAIN
252,发糕,玉米面,CONTAIN
253,凉拌菠菜,菠菜,CONTAIN
254,香菇炒菜心,香菇,CONTAIN
255,香菇炒菜心,油菜心,CONTAIN
256,西红柿牛腩汤,西红柿,CONTAIN
257,西红柿牛腩汤,牛腩,CONTAIN
258,苦菊西兰花沙拉,苦菊,CONTAIN
259,苦菊西兰花沙拉,无糖酸奶,CONTAIN
260,苦菊西兰花沙拉,西兰花,CONTAIN
261,蘑菇炒肉,香菇,CONTAIN
262,蘑菇炒肉,油菜,CONTAIN
263,蘑菇炒肉,牛肉,CONTAIN
264,小葱拌豆腐,豆腐,CONTAIN
265,小葱拌豆腐,小葱,CONTAIN
266,韭菜炒鸡蛋,韭菜,CONTAIN
267,韭菜炒鸡蛋,鸡蛋,CONTAIN
268,鸡蛋饼,葱,CONTAIN
269,鸡蛋饼,鸡蛋,CONTAIN
270,鸡蛋饼,玉米面,CONTAIN
271,素炒小白菜,小白菜,CONTAIN
272,砂锅小排骨,香菇,CONTAIN
273,砂锅小排骨,猪排骨,CONTAIN
274,虾仁炒黄瓜,黄瓜,CONTAIN
275,虾仁炒黄瓜,虾仁,CONTAIN
276,清炖百合牛肉汤,百合,CONTAIN
277,清炖百合牛肉汤,牛肉,CONTAIN
278,山药鸡蛋面,山药,CONTAIN
279,山药鸡蛋面,鸡蛋,CONTAIN
280,山药鸡蛋面,面条,CONTAIN
281,甘草炖肉,甘草,CONTAIN
282,甘草炖肉,羊肉,CONTAIN
283,姜汁菠菜,菠菜,CONTAIN
284,姜汁菠菜,生姜,CONTAIN
285,鲫鱼汤,鲫鱼,CONTAIN
286,鲫鱼汤,黄豆芽,CONTAIN
287,蒸南瓜,南瓜,CONTAIN
288,皮蛋豆腐,皮蛋,CONTAIN
289,皮蛋豆腐,豆腐,CONTAIN
290,党参黄芪鸡汤面,党参,CONTAIN
291,党参黄芪鸡汤面,黄芪,CONTAIN
292,党参黄芪鸡汤面,鸡肉,CONTAIN
293,党参黄芪鸡汤面,荞麦面条,CONTAIN
294,豌豆胡萝卜,豌豆,CONTAIN
295,豌豆胡萝卜,胡萝卜,CONTAIN
296,蘑菇青菜炒肉,平菇,CONTAIN
297,蘑菇青菜炒肉,青菜,CONTAIN
298,蘑菇青菜炒肉,猪肉,CONTAIN
299,煮玉米,玉米,CONTAIN
300,小白菜汤,小白菜,CONTAIN
301,小白菜汤,猪瘦肉,CONTAIN
302,蒜蓉蒲公英,蒲公英,CONTAIN
303,土豆炖肉,土豆,CONTAIN
304,土豆炖肉,牛肉,CONTAIN
305,韭菜虾仁饺子,韭菜,CONTAIN
306,韭菜虾仁饺子,虾仁,CONTAIN
307,韭菜虾仁饺子,面粉,CONTAIN
308,白灼菜花,菜花,CONTAIN
309,西红柿炒鸡蛋,西红柿,CONTAIN
310,西红柿炒鸡蛋,鸡蛋,CONTAIN
311,炒三丝,绿豆芽,CONTAIN
312,炒三丝,豆腐干,CONTAIN
313,炒三丝,蒜苗,CONTAIN
314,核桃莲子牛腩煲,核桃,CONTAIN
315,核桃莲子牛腩煲,莲子,CONTAIN
316,核桃莲子牛腩煲,牛肉,CONTAIN
317,窝头,玉米面,CONTAIN
318,葱爆肉,葱,CONTAIN
319,葱爆肉,牛瘦肉,CONTAIN
320,黄瓜鸡蛋汤,黄瓜,CONTAIN
321,黄瓜鸡蛋汤,鸡蛋,CONTAIN
322,西兰花炒鸡胸肉,西兰花,CONTAIN
323,西兰花炒鸡胸肉,鸡胸肉,CONTAIN
324,凉拌芹菜花生米,西芹,CONTAIN
325,凉拌芹菜花生米,花生,CONTAIN
326,山药鸡蛋面,山药,CONTAIN
327,山药鸡蛋面,鸡蛋,CONTAIN
328,山药鸡蛋面,面条,CONTAIN
329,裙带菜豆腐汤,裙带菜,CONTAIN
330,裙带菜豆腐汤,豆腐,CONTAIN
331,虾仁炒西葫芦,虾仁,CONTAIN
332,虾仁炒西葫芦,西葫芦,CONTAIN
333,青椒豆干,青椒,CONTAIN
334,青椒豆干,豆腐干,CONTAIN
335,小米粥,小米,CONTAIN
336,白扁豆炒肉,白扁豆,CONTAIN
337,白扁豆炒肉,牛肉,CONTAIN
338,葛根排骨汤,葛根,CONTAIN
339,葛根排骨汤,猪排骨,CONTAIN
340,红烧带鱼,带鱼,CONTAIN
341,蒸芋头,芋头,CONTAIN
342,豆腐脑,豆腐脑,CONTAIN
343,西兰花木耳,西兰花,CONTAIN
344,西兰花木耳,木耳,CONTAIN
345,油醋汁香菇西葫芦,香菇,CONTAIN
346,油醋汁香菇西葫芦,西葫芦,CONTAIN
347,荠菜豆腐羹,荠菜,CONTAIN
348,荠菜豆腐羹,内酯豆腐,CONTAIN
349,油面筋塞肉,油面筋,CONTAIN
350,油面筋塞肉,猪肉,CONTAIN
351,马兰头香干,马兰头,CONTAIN
352,马兰头香干,香干,CONTAIN
353,清炒油麦菜,油麦菜,CONTAIN
354,菌菇汤,香菇,CONTAIN
355,菌菇汤,口蘑,CONTAIN
356,葱油鲳鱼,鳕鱼,CONTAIN
357,香椿炒蛋,香椿,CONTAIN
358,香椿炒蛋,鸡蛋,CONTAIN
359,冬瓜毛豆,冬瓜,CONTAIN
360,冬瓜毛豆,毛豆,CONTAIN
361,黑木耳炒苦瓜,木耳,CONTAIN
362,黑木耳炒苦瓜,苦瓜,CONTAIN
363,青椒茭白丝,青椒,CONTAIN
364,青椒茭白丝,茭白,CONTAIN
365,黄豆芽油豆腐,黄豆芽,CONTAIN
366,黄豆芽油豆腐,油豆腐,CONTAIN
367,水芹香干,水芹菜,CONTAIN
368,水芹香干,香干,CONTAIN
369,水芹香干,黑芝麻,CONTAIN
370,糖尿病,锅贴,SUITABLE
371,糖尿病,萝卜蘸酱,SUITABLE
372,糖尿病,杂粮饭,SUITABLE
373,糖尿病,芹菜炒肉,SUITABLE
374,糖尿病,鸡片炒油菜,SUITABLE
375,糖尿病,红菜汤,SUITABLE
376,糖尿病,二米饭,SUITABLE
377,糖尿病,藿香鱼,SUITABLE
378,糖尿病,杏鲍菇蒜苗炒肉,SUITABLE
379,糖尿病,油豆角炖肉,SUITABLE
380,糖尿病,发糕,SUITABLE
381,糖尿病,凉拌菠菜,SUITABLE
382,糖尿病,香菇炒菜心,SUITABLE
383,糖尿病,西红柿牛腩汤,SUITABLE
384,糖尿病,苦菊西兰花沙拉,SUITABLE
385,糖尿病,蘑菇炒肉,SUITABLE
386,糖尿病,小葱拌豆腐,SUITABLE
387,糖尿病,韭菜炒鸡蛋,SUITABLE
388,糖尿病,鸡蛋饼,SUITABLE
389,糖尿病,素炒小白菜,SUITABLE
390,糖尿病,砂锅小排骨,SUITABLE
391,糖尿病,虾仁炒黄瓜,SUITABLE
392,糖尿病,清炖百合牛肉汤,SUITABLE
393,糖尿病,山药鸡蛋面,SUITABLE
394,糖尿病,甘草炖肉,SUITABLE
395,糖尿病,姜汁菠菜,SUITABLE
396,糖尿病,鲫鱼汤,SUITABLE
397,糖尿病,蒸南瓜,SUITABLE
398,糖尿病,皮蛋豆腐,SUITABLE
399,糖尿病,党参黄芪鸡汤面,SUITABLE
400,糖尿病,豌豆胡萝卜,SUITABLE
401,糖尿病,蘑菇青菜炒肉,SUITABLE
402,糖尿病,樱桃,SUITABLE
403,糖尿病,煮玉米,SUITABLE
404,糖尿病,小白菜汤,SUITABLE
405,糖尿病,蒜蓉蒲公英,SUITABLE
406,糖尿病,土豆炖肉,SUITABLE
407,糖尿病,韭菜虾仁饺子,SUITABLE
408,糖尿病,白灼菜花,SUITABLE
409,糖尿病,西红柿炒鸡蛋,SUITABLE
410,糖尿病,炒三丝,SUITABLE
411,糖尿病,核桃莲子牛腩煲,SUITABLE
412,糖尿病,窝头,SUITABLE
413,糖尿病,葱爆肉,SUITABLE
414,糖尿病,黄瓜鸡蛋汤,SUITABLE
415,糖尿病,西兰花炒鸡胸肉,SUITABLE
416,糖尿病,凉拌芹菜花生米,SUITABLE
417,糖尿病,裙带菜豆腐汤,SUITABLE
418,糖尿病,虾仁炒西葫芦,SUITABLE
419,糖尿病,青椒豆干,SUITABLE
420,糖尿病,小米粥,SUITABLE
421,糖尿病,白扁豆炒肉,SUITABLE
422,糖尿病,葛根排骨汤,SUITABLE
423,糖尿病,红烧带鱼,SUITABLE
424,糖尿病,蒸芋头,SUITABLE
425,糖尿病,豆腐脑,SUITABLE
426,糖尿病,西兰花木耳,SUITABLE
427,糖尿病,油醋汁香菇西葫芦,SUITABLE
428,糖尿病,荠菜豆腐羹,SUITABLE
429,糖尿病,油面筋塞肉,SUITABLE
430,糖尿病,马兰头香干,SUITABLE
431,糖尿病,清炒油麦菜,SUITABLE
432,糖尿病,菌菇汤,SUITABLE
433,糖尿病,葱油鲳鱼,SUITABLE
434,糖尿病,香椿炒蛋,SUITABLE
435,糖尿病,冬瓜毛豆,SUITABLE
436,糖尿病,黑木耳炒苦瓜,SUITABLE
437,糖尿病,青椒茭白丝,SUITABLE
438,糖尿病,黄豆芽油豆腐,SUITABLE
439,糖尿病,水芹香干,SUITABLE
440,锅贴,低GI食物,CONTAIN
441,锅贴,低GI食物,CONTAIN
442,萝卜蘸酱,低GI食物,CONTAIN
443,杂粮饭,中GI食物,CONTAIN
444,杂粮饭,低GI食物,CONTAIN
445,杂粮饭,低GI食物,CONTAIN
446,芹菜炒肉,低GI食物,CONTAIN
447,芹菜炒肉,中GI食物,CONTAIN
448,鸡片炒油菜,低GI食物,CONTAIN
449,鸡片炒油菜,低GI食物,CONTAIN
450,红菜汤,低GI食物,CONTAIN
451,红菜汤,低GI食物,CONTAIN
452,红菜汤,中GI食物,CONTAIN
453,红菜汤,中GI食物,CONTAIN
454,二米饭,低GI食物,CONTAIN
455,二米饭,中GI食物,CONTAIN
456,藿香鱼,低GI食物,CONTAIN
457,藿香鱼,低GI食物,CONTAIN
458,杏鲍菇蒜苗炒肉,低GI食物,CONTAIN
459,杏鲍菇蒜苗炒肉,低GI食物,CONTAIN
460,杏鲍菇蒜苗炒肉,中GI食物,CONTAIN
461,油豆角炖肉,低GI食物,CONTAIN
462,油豆角炖肉,中GI食物,CONTAIN
463,发糕,中GI食物,CONTAIN
464,发糕,低GI食物,CONTAIN
465,凉拌菠菜,低GI食物,CONTAIN
466,香菇炒菜心,低GI食物,CONTAIN
467,香菇炒菜心,低GI食物,CONTAIN
468,西红柿牛腩汤,低GI食物,CONTAIN
469,西红柿牛腩汤,中GI食物,CONTAIN
470,苦菊西兰花沙拉,低GI食物,CONTAIN
471,苦菊西兰花沙拉,低GI食物,CONTAIN
472,苦菊西兰花沙拉,低GI食物,CONTAIN
473,蘑菇炒肉,低GI食物,CONTAIN
474,蘑菇炒肉,低GI食物,CONTAIN
475,蘑菇炒肉,中GI食物,CONTAIN
476,小葱拌豆腐,低GI食物,CONTAIN
477,小葱拌豆腐,低GI食物,CONTAIN
478,韭菜炒鸡蛋,低GI食物,CONTAIN
479,韭菜炒鸡蛋,低GI食物,CONTAIN
480,鸡蛋饼,低GI食物,CONTAIN
481,鸡蛋饼,低GI食物,CONTAIN
482,鸡蛋饼,低GI食物,CONTAIN
483,素炒小白菜,低GI食物,CONTAIN
484,砂锅小排骨,低GI食物,CONTAIN
485,砂锅小排骨,中GI食物,CONTAIN
486,虾仁炒黄瓜,低GI食物,CONTAIN
487,虾仁炒黄瓜,低GI食物,CONTAIN
488,清炖百合牛肉汤,低GI食物,CONTAIN
489,清炖百合牛肉汤,中GI食物,CONTAIN
490,山药鸡蛋面,低GI食物,CONTAIN
491,山药鸡蛋面,低GI食物,CONTAIN
492,山药鸡蛋面,中GI食物,CONTAIN
493,甘草炖肉,低GI食物,CONTAIN
494,甘草炖肉,中GI食物,CONTAIN
495,姜汁菠菜,低GI食物,CONTAIN
496,姜汁菠菜,低GI食物,CONTAIN
497,鲫鱼汤,低GI食物,CONTAIN
498,鲫鱼汤,低GI食物,CONTAIN
499,蒸南瓜,高GI食物,CONTAIN
500,皮蛋豆腐,低GI食物,CONTAIN
501,皮蛋豆腐,低GI食物,CONTAIN
502,党参黄芪鸡汤面,低GI食物,CONTAIN
503,党参黄芪鸡汤面,低GI食物,CONTAIN
504,党参黄芪鸡汤面,低GI食物,CONTAIN
505,党参黄芪鸡汤面,中GI食物,CONTAIN
506,豌豆胡萝卜,低GI食物,CONTAIN
507,豌豆胡萝卜,中GI食物,CONTAIN
508,蘑菇青菜炒肉,低GI食物,CONTAIN
509,蘑菇青菜炒肉,低GI食物,CONTAIN
510,蘑菇青菜炒肉,中GI食物,CONTAIN
511,樱桃,低GI食物,CONTAIN
512,煮玉米,低GI食物,CONTAIN
513,小白菜汤,低GI食物,CONTAIN
514,小白菜汤,中GI食物,CONTAIN
515,蒜蓉蒲公英,低GI食物,CONTAIN
516,土豆炖肉,中GI食物,CONTAIN
517,土豆炖肉,中GI食物,CONTAIN
518,韭菜虾仁饺子,低GI食物,CONTAIN
519,韭菜虾仁饺子,低GI食物,CONTAIN
520,韭菜虾仁饺子,中GI食物,CONTAIN
521,白灼菜花,低GI食物,CONTAIN
522,西红柿炒鸡蛋,低GI食物,CONTAIN
523,西红柿炒鸡蛋,低GI食物,CONTAIN
524,炒三丝,低GI食物,CONTAIN
525,炒三丝,低GI食物,CONTAIN
526,炒三丝,低GI食物,CONTAIN
527,核桃莲子牛腩煲,低GI食物,CONTAIN
528,核桃莲子牛腩煲,低GI食物,CONTAIN
529,核桃莲子牛腩煲,中GI食物,CONTAIN
530,窝头,低GI食物,CONTAIN
531,葱爆肉,低GI食物,CONTAIN
532,葱爆肉,中GI食物,CONTAIN
533,黄瓜鸡蛋汤,低GI食物,CONTAIN
534,黄瓜鸡蛋汤,低GI食物,CONTAIN
535,西兰花炒鸡胸肉,低GI食物,CONTAIN
536,西兰花炒鸡胸肉,低GI食物,CONTAIN
537,凉拌芹菜花生米,低GI食物,CONTAIN
538,凉拌芹菜花生米,低GI食物,CONTAIN
539,凉拌芹菜花生米,低GI食物,CONTAIN
540,山药鸡蛋面,低GI食物,CONTAIN
541,山药鸡蛋面,低GI食物,CONTAIN
542,山药鸡蛋面,中GI食物,CONTAIN
543,裙带菜豆腐汤,低GI食物,CONTAIN
544,裙带菜豆腐汤,低GI食物,CONTAIN
545,虾仁炒西葫芦,低GI食物,CONTAIN
546,虾仁炒西葫芦,低GI食物,CONTAIN
547,青椒豆干,低GI食物,CONTAIN
548,青椒豆干,低GI食物,CONTAIN
549,小米粥,中GI食物,CONTAIN
550,白扁豆炒肉,低GI食物,CONTAIN
551,白扁豆炒肉,中GI食物,CONTAIN
552,葛根排骨汤,低GI食物,CONTAIN
553,葛根排骨汤,中GI食物,CONTAIN
554,红烧带鱼,低GI食物,CONTAIN
555,蒸芋头,低GI食物,CONTAIN
556,豆腐脑,低GI食物,CONTAIN
557,西兰花木耳,低GI食物,CONTAIN
558,西兰花木耳,低GI食物,CONTAIN
559,油醋汁香菇西葫芦,低GI食物,CONTAIN
560,油醋汁香菇西葫芦,低GI食物,CONTAIN
561,荠菜豆腐羹,低GI食物,CONTAIN
562,荠菜豆腐羹,低GI食物,CONTAIN
563,油面筋塞肉,低GI食物,CONTAIN
564,油面筋塞肉,中GI食物,CONTAIN
565,马兰头香干,低GI食物,CONTAIN
566,马兰头香干,低GI食物,CONTAIN
567,清炒油麦菜,低GI食物,CONTAIN
568,菌菇汤,低GI食物,CONTAIN
569,菌菇汤,低GI食物,CONTAIN
570,葱油鲳鱼,低GI食物,CONTAIN
571,香椿炒蛋,低GI食物,CONTAIN
572,香椿炒蛋,低GI食物,CONTAIN
573,冬瓜毛豆,低GI食物,CONTAIN
574,冬瓜毛豆,低GI食物,CONTAIN
575,黑木耳炒苦瓜,低GI食物,CONTAIN
576,黑木耳炒苦瓜,低GI食物,CONTAIN
577,青椒茭白丝,低GI食物,CONTAIN
578,青椒茭白丝,低GI食物,CONTAIN
579,黄豆芽油豆腐,低GI食物,CONTAIN
580,黄豆芽油豆腐,低GI食物,CONTAIN
581,水芹香干,低GI食物,CONTAIN
582,水芹香干,低GI食物,CONTAIN
583,水芹香干,低GI食物,CONTAIN
